# step       rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn   lr      
# If there is no available reference data, rmse_*_{val,trn} will print nan
      0      2.98e+01    3.11e+01      7.82e-01    7.86e-01      9.42e-01    9.84e-01    1.0e-03
    200      2.19e+01    1.93e+01      3.39e-02    7.33e-02      6.91e-01    6.11e-01    1.0e-03
    400      1.33e+01    1.60e+01      4.56e-02    4.45e-02      4.20e-01    5.06e-01    1.0e-03
    600      8.93e+00    1.09e+01      1.93e-01    1.90e-01      2.82e-01    3.45e-01    1.0e-03
    800      4.55e+00    6.63e+00      2.64e-01    2.54e-01      1.43e-01    2.09e-01    1.0e-03
   1000      1.51e+00    3.99e+00      9.41e-02    1.01e-01      4.75e-02    1.26e-01    1.0e-03
   1200      3.39e+00    2.94e+00      1.22e-01    1.26e-01      1.07e-01    9.28e-02    1.0e-03
   1400      3.16e+00    3.18e+00      6.12e-02    5.61e-02      9.98e-02    1.01e-01    1.0e-03
   1600      2.82e+00    3.69e+00      5.38e-02    5.85e-02      8.91e-02    1.17e-01    1.0e-03
   1800      2.20e+00    3.09e+00      8.01e-03    1.35e-02      6.96e-02    9.76e-02    1.0e-03
   2000      2.69e+00    2.78e+00      7.08e-03    5.84e-03      8.50e-02    8.79e-02    1.0e-03
   2200      2.97e+00    2.93e+00      2.18e-02    2.20e-02      9.39e-02    9.27e-02    1.0e-03
   2400      3.45e+00    2.69e+00      8.08e-02    8.68e-02      1.09e-01    8.50e-02    1.0e-03
   2600      3.17e+00    2.96e+00      3.81e-02    3.55e-02      1.00e-01    9.35e-02    1.0e-03
   2800      2.77e+00    2.78e+00      9.42e-02    9.35e-02      8.75e-02    8.79e-02    1.0e-03
   3000      2.71e+00    3.55e+00      8.46e-02    7.81e-02      8.57e-02    1.12e-01    1.0e-03
   3200      2.80e+00    3.02e+00      1.78e-01    1.76e-01      8.81e-02    9.51e-02    1.0e-03
   3400      2.38e+00    2.69e+00      2.05e-02    1.56e-02      7.52e-02    8.50e-02    1.0e-03
   3600      2.89e+00    3.11e+00      1.28e-01    1.31e-01      9.12e-02    9.82e-02    1.0e-03
   3800      3.38e+00    2.40e+00      1.30e-02    1.48e-02      1.07e-01    7.57e-02    1.0e-03
   4000      2.56e+00    2.48e+00      2.78e-02    2.96e-02      8.09e-02    7.84e-02    1.0e-03
   4200      2.09e+00    2.51e+00      2.45e-01    2.54e-01      6.53e-02    7.85e-02    1.0e-03
   4400      3.48e+00    3.78e+00      5.71e-02    4.27e-02      1.10e-01    1.19e-01    1.0e-03
   4600      1.91e+00    2.51e+00      6.26e-02    6.20e-02      6.05e-02    7.92e-02    1.0e-03
   4800      3.21e+00    2.65e+00      3.24e-02    3.09e-02      1.02e-01    8.39e-02    1.0e-03
   5000      2.46e+00    2.81e+00      1.52e-02    1.09e-02      7.99e-02    9.13e-02    9.5e-04
   5200      3.53e+00    2.98e+00      9.54e-04    3.86e-03      1.15e-01    9.66e-02    9.5e-04
   5400      2.76e+00    2.08e+00      1.11e-01    1.07e-01      8.92e-02    6.69e-02    9.5e-04
   5600      2.76e+00    2.53e+00      1.24e-01    1.23e-01      8.88e-02    8.15e-02    9.5e-04
   5800      2.05e+00    2.76e+00      6.66e-02    6.67e-02      6.63e-02    8.94e-02    9.5e-04
   6000      2.33e+00    2.27e+00      1.22e-02    1.07e-02      7.55e-02    7.36e-02    9.5e-04
   6200      1.57e+00    1.34e+00      3.93e-02    3.99e-02      5.10e-02    4.33e-02    9.5e-04
   6400      2.69e+00    2.62e+00      1.84e-01    1.83e-01      8.60e-02    8.36e-02    9.5e-04
   6600      2.23e+00    2.29e+00      5.12e-02    4.75e-02      7.22e-02    7.43e-02    9.5e-04
   6800      2.92e+00    2.28e+00      4.21e-02    4.09e-02      9.48e-02    7.38e-02    9.5e-04
   7000      2.59e+00    2.53e+00      4.50e-02    4.85e-02      8.39e-02    8.20e-02    9.5e-04
   7200      3.84e+00    1.91e+00      1.06e-01    1.04e-01      1.24e-01    6.14e-02    9.5e-04
   7400      2.60e+00    2.26e+00      1.18e-01    1.16e-01      8.38e-02    7.27e-02    9.5e-04
   7600      2.74e+00    2.82e+00      2.03e-01    2.14e-01      8.74e-02    8.96e-02    9.5e-04
   7800      2.01e+00    2.45e+00      2.00e-02    1.82e-02      6.53e-02    7.96e-02    9.5e-04
   8000      2.20e+00    2.51e+00      1.26e-02    1.13e-02      7.12e-02    8.14e-02    9.5e-04
   8200      1.60e+00    2.26e+00      5.21e-02    5.45e-02      5.17e-02    7.32e-02    9.5e-04
   8400      1.33e+00    2.56e+00      2.70e-02    2.21e-02      4.31e-02    8.30e-02    9.5e-04
   8600      2.16e+00    1.97e+00      2.99e-02    4.59e-02      6.99e-02    6.40e-02    9.5e-04
   8800      2.67e+00    2.28e+00      1.88e-02    2.71e-02      8.66e-02    7.40e-02    9.5e-04
   9000      2.62e+00    2.08e+00      3.61e-02    3.70e-02      8.49e-02    6.76e-02    9.5e-04
   9200      2.60e+00    2.49e+00      3.81e-02    4.06e-02      8.41e-02    8.09e-02    9.5e-04
   9400      2.19e+00    1.30e+00      2.08e-02    2.15e-02      7.11e-02    4.22e-02    9.5e-04
   9600      1.79e+00    2.10e+00      5.07e-02    5.43e-02      5.78e-02    6.79e-02    9.5e-04
   9800      1.44e+00    2.65e+00      2.57e-03    5.59e-03      4.66e-02    8.60e-02    9.5e-04
  10000      2.75e+00    1.59e+00      5.71e-02    5.53e-02      9.12e-02    5.27e-02    9.0e-04
  10200      2.77e+00    2.71e+00      3.37e-02    3.37e-02      9.22e-02    9.01e-02    9.0e-04
  10400      2.00e+00    2.56e+00      1.30e-02    1.37e-02      6.64e-02    8.54e-02    9.0e-04
  10600      2.03e+00    2.30e+00      3.58e-02    3.47e-02      6.74e-02    7.66e-02    9.0e-04
  10800      2.22e+00    2.03e+00      8.49e-02    7.98e-02      7.32e-02    6.69e-02    9.0e-04
  11000      2.23e+00    2.05e+00      4.86e-02    4.54e-02      7.40e-02    6.82e-02    9.0e-04
  11200      2.46e+00    2.52e+00      2.75e-02    3.67e-02      8.19e-02    8.36e-02    9.0e-04
  11400      1.95e+00    1.79e+00      1.08e-03    7.51e-04      6.48e-02    5.95e-02    9.0e-04
  11600      2.24e+00    1.86e+00      1.71e-02    1.67e-02      7.44e-02    6.18e-02    9.0e-04
